NUMBER=2
TIME=120
PLAYER x=40,y=240,type=red
WALL x=0,y=0,width=800,height=20
WALL x=0,y=480,width=800,height=20
WALL x=0,y=0,width=20,height=500
WALL x=780,y=0,width=20,height=500
WALL x=100,y=20,width=250,height=170
WALL x=100,y=310,width=250,height=170
ENEMY x=140,y=195,width=20,height=20,movement=basic,direction=VERTICAL,sign=1
ENEMY x=200,y=285,width=20,height=20,movement=basic,direction=VERTICAL,sign=-1
ENEMY x=260,y=195,width=20,height=20,movement=basic,direction=VERTICAL,sign=1
ENEMY x=320,y=285,width=20,height=20,movement=basic,direction=VERTICAL,sign=-1
COIN x=170,y=245,width=12,height=12,type=yellow
COIN x=290,y=245,width=12,height=12,type=yellow
INTERMEDIATE_ZONE x=360,y=190,width=70,height=120
ENEMY x=385,y=195,width=20,height=20,movement=accelerated,direction=VERTICAL,sign=1
WALL x=690,y=20,width=20,height=180
WALL x=690,y=300,width=20,height=180
ENEMY x=450,y=40,width=20,height=20,movement=patrol,route=450:40|650:40|650:440|450:440
ENEMY x=450,y=240,width=20,height=20,movement=patrol,route=450:240|650:240
ENEMY x=735,y=30,width=20,height=20,movement=accelerated,direction=VERTICAL,sign=1
COIN x=460,y=50,width=15,height=15,type=yellow
COIN x=640,y=430,width=15,height=15,type=yellow
COIN x=545,y=240,width=15,height=15,type=green
INITIAL_ZONE x=30,y=200,width=60,height=100
FINAL_ZONE x=720,y=200,width=50,height=100
